0,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000178646,-0.0000016764,-0.0000010000,-0.0000010000
1,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000017533,-0.0000017188,-0.0003026681
2,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000178988,-0.0000017062,-0.0000010000,-0.0000194605
3,-13.3669999744,-10.0517699526,-7.6641748745,-7.6468047223,-6.4496228386,-6.8785901204,-4.6700803362,-4.7755598365
4,-0.0000010000,-0.0000010000,-0.0000010000,-0.0005367406,-0.0000010000,-0.0148131163,-0.0000010000,-0.0003603884
5,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0003311824,-0.0000010000,-0.0001207732
6,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000691432,-0.0000277095,-0.0006234012,-0.0000010000
7,-0.0000010000,-0.0000010000,-0.0000029794,-0.0004251977,-0.0000125772,-0.0110082388,-0.0000020098,-0.0029456537
8,-13.8155105580,-10.0518846755,-7.6656667263,-7.6514217652,-6.6141088334,-6.9550387605,-4.6728338892,-4.8032662281
9,-13.8155105580,-10.0518846755,-7.6656667263,-7.6514217652,-6.6141088334,-6.9550387605,-4.6728338892,-4.8032662281
10,-13.8155105580,-10.0473824754,-7.6569009099,-7.6438233199,-6.6085887733,-6.9437024699,-0.0000367100,-4.7101709540
11,-13.8155105580,-10.0518316637,-7.6642314600,-7.6507928062,-6.5932417825,-6.9399070628,-2.3368831686,-4.7789360405
12,-13.8155105580,-10.0518846755,-7.6656667263,-7.6514217652,-6.6141088334,-6.9550387605,-4.6728338892,-4.8032662281
13,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000018988,-0.0000010000,-0.0000086777
14,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000019743,-0.0000010000,-0.0001340689
15,-0.0000010000,-0.0000029516,-0.0000010000,-0.0002060538,-0.0076983003,-0.0009218666,-0.1234629833,-0.0000131895
16,-6.9307919230,-4.3573079138,-0.0001277037,-2.2485965913,-0.6479609856,-3.7591770143,-2.7537161467,-0.1326812704
17,-0.0000010000,-0.0019126761,-0.0000015194,-0.0005181783,-2.3175131336,-0.7494926700,-0.0245320235,-0.2272837158
18,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000023822,-0.0000037408,-0.0380355048,-0.0001668527,-0.0003484114
19,-13.8155105580,-9.7705014278,-5.5234694075,-4.5286056385,-3.4632831206,-4.4202919186,-1.7291728724,-2.2368755212
