has_coal,id,name,number,parliament_id,region_id
,30119,Zwickau - Werdau,327,6,2842566
,30120,Zwickauer Land - Zwickau,167,6,2842566
,30229,Leipzig I,309,6,2842566
,30142,,6,6,2847618
,30136,,1,6,2951839
,30137,,272,6,2945356
,30114,,86,6,2861876
,30134,München-Land,208,6,2951839
,30144,,323,6,2842566
,30146,,4,6,2911297
,30099,Bonn,63,6,2861876
,30256,Bitburg,205,6,2847618
,30339,Saarlouis,297,6,2842635
,30259,Coburg,224,6,2951839
,30193,,42,6,2951839
,30148,,12,6,2862926
,30149,,267,6,2872567
,30154,,10,6,2862926
,30155,,52,6,2861876
,30156,,1,6,2944387
,30150,Stralsund-Rügen-Grimmen,267,6,2872567
,30158,Bautzen I,157,6,2842566
,30143,,114,6,2861876
,30188,Dresden II,319,6,2842566
,30157,Bautzen - Weißwasser,158,6,2842566
,30190,,13,6,2862926
,30160,Höxter - Lippe II,106,6,2861876
,30164,,281,6,2945356
,30226,Kleve,113,6,2861876
,30228,,309,6,2842566
,30301,Oberhausen,86,6,2861876
,30168,,2,6,2861876
,30171,,10,6,2905330
,30173,,3,6,2861876
,30176,,10,6,2847618
,30177,,47,6,2861876
,30172,Saarbrücken II,245,6,2842635
,30179,,38,6,2861876
,30180,,17,6,2953481
,30181,,249,6,2950157
,30183,,21,6,2951839
,30186,,45,6,2861876
,30108,,44,6,2951839
,30112,Rostock,14,6,2872567
,30185,Hamburg-Bergedorf,17,6,2911297
,30118,,327,6,2842566
,30075,,43,6,2862926
,30194,,7,6,2862926
,30222,Berlin-Zehlendorf - Steglitz,253,6,2950157
,30192,Köln IV,62,6,2861876
,30223,,12,6,2953481
,30269,Göppingen,167,6,2953481
,30203,,300,6,2822542
,30205,,299,6,2822542
,30198,Paderborn,107,6,2861876
,30199,Ennepe-Ruhr-Kreis I,109,6,2861876
,30200,Augsburg-Land,239,6,2951839
,30201,Augsburg-Land,254,6,2951839
,30206,,11,6,2951839
,30209,,36,6,2861876
,30213,,1,6,2862926
,30214,,288,6,2842565
,30216,Dessau - Wittenberg,71,6,2842565
,30210,Wuppertal II,70,6,2861876
,30212,,125,6,2905330
,30217,Dessau - Wittenberg,70,6,2842565
,30219,,308,6,2842566
,30224,Mainz,154,6,2847618
,30100,,53,6,2862926
,30218,Reutlingen,193,6,2953481
,30140,Rendsburg - Eckernförde,4,6,2838632
,30231,Gelsenkirchen,124,6,2861876
,30270,Göppingen,264,6,2953481
,30331,Ravensburg,294,6,2953481
,30232,Gelsenkirchen,123,6,2861876
,30252,Hildesheim,43,6,2862926
,30225,Kleve,81,6,2861876
,30103,Offenbach,142,6,2905330
,30320,Aachen,88,6,2861876
,30281,Passau,230,6,2951839
,30230,Gelsenkirchen I,93,6,2861876
,30288,,1,6,2905330
,30236,,13,6,2905330
,30237,,17,6,2862926
,30238,,271,6,2945356
,30309,Duisburg II,85,6,2861876
,30130,Jena-Rudolstadt-Stadtroda,302,6,2822542
,30319,Aachen,53,6,2861876
,30244,,6,6,2911297
,30246,,37,6,2861876
,30241,Kulmbach,226,6,2951839
,30277,Wiesbaden,136,6,2905330
,30131,Jena - Weimar - Weimarer Land,195,6,2822542
,30132,,15,6,2862926
,30247,Donau-Ries,240,6,2951839
,30248,Donau-Ries,255,6,2951839
,30249,Traunstein,211,6,2951839
,30250,Traunstein,226,6,2951839
,30257,Bitburg,204,6,2847618
,30258,,296,6,2822542
,30255,Bitburg,151,6,2847618
,30335,Berlin-Tempelhof,256,6,2950157
,30165,,52,6,2862926
,30166,,21,6,2861876
,30162,,286,6,2842565
,30197,,15,6,2847618
,30273,Main-Taunus,182,6,2905330
,30233,,4,6,2862926
,30202,Augsburg-Land,253,6,2951839
,30167,,31,6,2951839
,30290,,9,6,2905330
,30291,,34,6,2861876
,30107,,3,6,2944387
,30187,,319,6,2842566
,30081,Leipziger-Land - Muldentalkreis,155,6,2842566
,30271,Göppingen,263,6,2953481
,30141,Rendsburg-Eckernförde,4,6,2838632
,30234,,6,6,2905330
,30161,,113,6,2861876
,30341,Sömmerda-Artern-Sondershausen-Langensalza,298,6,2822542
,30303,,19,6,2951839
,30392,,257,6,2950157
,30294,Stuttgart I,162,6,2953481
,30355,Wetterau,134,6,2905330
,30402,Sankt Wendel,298,6,2842635
,30278,Biberach,196,6,2953481
,30366,Steinburg - Dithmarschen Süd,3,6,2838632
,30367,,284,6,2842565
,30369,,45,6,2951839
,30363,Frankenthal,156,6,2847618
,30421,Saalfeld - Pößneck - Schleiz - Lobenstein - Zeulenroda,305,6,2822542
,30403,,15,6,2953481
,30261,Neuss I,76,6,2861876
,30343,,273,6,2945356
,30235,,2,6,2905330
,30342,Kyffhäuserkreis - Sömmerda - Unstrut-Hainich-Kreis II,192,6,2822542
,30266,Hanau,137,6,2905330
,30424,,328,6,2842566
,30396,,13,6,2953481
,30254,Leipzig-Land - Borna - Geithain,311,6,2842566
,30409,,3,6,2847618
,30292,,32,6,2951839
,30280,Passau,215,6,2951839
,30282,Ostallgäu,243,6,2951839
,30283,Ostallgäu,258,6,2951839
,30445,Rosenheim,224,6,2951839
,30285,Augsburg-Stadt,238,6,2951839
,30286,Augsburg-Stadt,253,6,2951839
,30262,Stuttgart II,163,6,2953481
,30419,Göttingen,53,6,2862926
,30293,,162,6,2953481
,30299,Offenburg,284,6,2953481
,30264,Konstanz,288,6,2953481
,30391,Chemnitz II - Chemnitz-Land,324,6,2842566
,30297,Offenburg,188,6,2953481
,30423,,250,6,2950157
,30304,,260,6,2950157
,30323,,9,6,2847618
,30324,,23,6,2861876
,30326,,8,6,2905330
,30305,Berlin-Köpenick - Treptow,259,6,2950157
,30296,,15,6,2951839
,30307,Bamberg,222,6,2951839
,30308,Mülheim,87,6,2861876
,30322,Salzgitter - Wolfenbüttel,49,6,2862926
,30306,Mettmann II,73,6,2861876
,30312,Rhein-Neckar,182,6,2953481
,30313,Rhein-Neckar,278,6,2953481
,30314,Fürth,229,6,2951839
,30315,Fürth,244,6,2951839
,30435,Hersfeld,128,6,2905330
,30318,Freiberg-Brand-Erbisdorf-Flöha-Marienberg,321,6,2842566
,30321,Salzgitter - Wolfenbüttel,44,6,2862926
,30295,,125,6,2861876
,30327,,276,6,2945356
,30360,,22,6,2861876
,30361,,5,6,2951839
,30436,Weiden,221,6,2951839
,30328,Potsdam,276,6,2945356
,30329,Ravensburg - Bodensee,197,6,2953481
,30330,Ravensburg - Bodensee,294,6,2953481
,30337,,294,6,2842565
,30340,,18,6,2861876
,30362,Märkischer Kreis II,123,6,2861876
,30336,Osnabrück-Land,32,6,2862926
,30364,Leverkusen-Rheinisch-Bergischer Kreis II,68,6,2861876
,30338,Saarlouis,246,6,2842635
,30365,,22,6,2951839
,30345,,43,6,2951839
,30347,Hameln-Pyrmont - Holzminden,46,6,2862926
,30349,,310,6,2842566
,30344,Oldenburg - Ammerland,22,6,2862926
,30211,Mönchengladbach,78,6,2861876
,30346,Hameln-Pyrmont - Holzminden,41,6,2862926
,30461,Rheinisch-Bergischer Kreis,100,6,2861876
,30408,,1,6,2861876
,30310,,146,6,2847618
,30311,,14,6,2953481
,30317,,321,6,2842566
,30287,Augsburg-Stadt,252,6,2951839
,30356,Ingolstadt,202,6,2951839
,30334,,255,6,2950157
,30359,Unterems,20,6,2862926
,30437,,7,6,2951839
,30300,Frankfurt am Main I,183,6,2905330
,30227,Kleve,112,6,2861876
,30352,,293,6,2842565
,30029,,243,6,2951839
,30245,,22,6,2911297
,30371,,46,6,2951839
,30372,,8,6,2847618
,30368,Hochtaunus,133,6,2905330
,30374,,17,6,2905330
,30370,Ansbach,227,6,2951839
,30375,,6,6,2862926
,30376,,12,6,2951839
,30377,,29,6,2861876
,30378,Berlin-Friedrichshain - Kreuzberg - Prenzlauer Berg Ost,84,6,2950157
,30379,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,83,6,2950157
,30381,,282,6,2945356
,30382,Elbe-Elster - Oberspreewald-Lausitz II,66,6,2945356
,30383,Elbe-Elster – Oberspreewald-Lausitz II,65,6,2945356
,30384,,35,6,2951839
,30388,,2,6,2862926
,30389,,43,6,2861876
,30410,Mannheim II,180,6,2953481
,30387,Werra-Meißner,126,6,2905330
,30411,,8,6,2911297
,30412,,21,6,2911297
,30397,,9,6,2953481
,30398,,13,6,2951839
,30395,Dortmund I,113,6,2861876
,30399,,20,6,2953481
,30400,,11,6,2847618
,30463,Gütersloh,132,6,2861876
,30208,Warendorf,131,6,2861876
,30333,,322,6,2842566
,30284,,295,6,2842565
,30404,Neu-Ulm,241,6,2951839
,30405,,124,6,2905330
,30358,Helmstedt - Wolfsburg,46,6,2862926
,30332,,29,6,2951839
,30350,Leipzig II,310,6,2842566
,30351,,39,6,2861876
,30414,Altmark,283,6,2842565
,30422,Stade - Cuxhaven,31,6,2862926
,30276,Bielefeld,102,6,2861876
,30407,,17,6,2951839
,30243,Krefeld,79,6,2861876
,30425,Duisburg I,84,6,2861876
,30426,Wiesbaden,180,6,2905330
,30302,,7,6,2911297
,30418,Recklinghausen I,122,6,2861876
,30476,Eichsfeld - Nordhausen,190,6,2822542
,30390,Delmenhorst-Wesermarsch-Oldenburg-Land,23,6,2862926
,30522,Bergstraße,189,6,2905330
,30406,Hof,225,6,2951839
,30530,Coburg,238,6,2951839
,30380,Celle - Uelzen,44,6,2862926
,30519,,278,6,2945356
,30540,Münster,130,6,2861876
,30516,Lahn-Dill,174,6,2905330
,30431,,42,6,2861876
,30509,Heidelberg,274,6,2953481
,30490,Essen II,120,6,2861876
,30511,Recklinghausen II,123,6,2861876
,30484,Worms,207,6,2847618
,30394,Pirmasens,160,6,2847618
,30450,,26,6,2951839
,30508,Heidelberg,275,6,2953481
,30443,Märkischer Kreis I,122,6,2861876
,30525,Hamburg-Eimsbüttel,21,6,2911297
,30449,Main-Spessart,249,6,2951839
,30432,,16,6,2861876
,30427,Hamm - Unna II,117,6,2861876
,30438,,280,6,2945356
,30429,Neuss II,77,6,2861876
,30440,Borken II,127,6,2861876
,30441,,1,6,2847618
,30434,Ludwigsburg,169,6,2953481
,30433,Ludwigsburg,266,6,2953481
,30498,Rhein-Sieg-Kreis I,64,6,2861876
,30439,Borken II,96,6,2861876
,30502,Mittelems,32,6,2862926
,30473,Neuss I,109,6,2861876
,30477,Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I,190,6,2822542
,30454,Ludwigshafen/Frankenthal,210,6,2847618
,30444,Rosenheim,209,6,2951839
,30446,Regensburg,219,6,2951839
,30447,Main-Spessart,235,6,2951839
,30448,Main-Spessart,250,6,2951839
,30455,Ludwigshafen/Frankenthal,209,6,2847618
,30460,Rheinisch-Bergischer Kreis,101,6,2861876
,30453,Neuruppin - Kyritz - Wittstock - Pritzwalk - Perleberg,271,6,2945356
,30535,Berlin-Kreuzberg - Schöneberg,255,6,2950157
,30354,Reichenbach - Plauen - Auerbach - Oelsnitz,328,6,2842566
,30420,,305,6,2822542
,30456,Solingen - Remscheid,71,6,2861876
,30458,Ludwigshafen/Frankenthal,208,6,2847618
,30459,Rheinisch-Bergischer Kreis I,67,6,2861876
,30428,Hamm - Unna II,146,6,2861876
,30462,Gütersloh,101,6,2861876
,30464,Wesel II,83,6,2861876
,30465,Cuxhaven,24,6,2862926
,30466,Cuxhaven - Osterholz,30,6,2862926
,30478,Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I,189,6,2822542
,30468,Märkischer Kreis II,150,6,2861876
,30469,Erlangen,228,6,2951839
,30567,Eisleben - Sangerhausen - Hettstedt,295,6,2842565
,30474,Neuss I,108,6,2861876
,30475,Nordhausen - Worbis - Heiligenstadt,296,6,2822542
,30479,Eichsfeld-Nordhausen-Unstrut-Hainich-Kreis I,189,6,2822542
,30480,Eichsfeld – Nordhausen – Kyffhäuserkreis,189,6,2822542
,30482,Worms,209,6,2847618
,30483,Worms,208,6,2847618
,30452,Prignitz - Ostprignitz-Ruppin - Havelland I,56,6,2945356
,30481,Worms,155,6,2847618
,30500,Bremen I,54,6,2944387
,30572,Ulm,292,6,2953481
,30485,Waldeck,124,6,2905330
,30486,Waldeck,169,6,2905330
,30487,Steinfurt II,98,6,2861876
,30489,Essen II,89,6,2861876
,30554,Olpe - Märkischer Kreis I,150,6,2861876
,30492,Schwalm-Eder,127,6,2905330
,30493,Schwalm-Eder,172,6,2905330
,30528,Harburg,35,6,2862926
,30496,Aurich - Emden,19,6,2862926
,30494,Chemnitz,164,6,2842566
,30565,Berlin-Reinickendorf,251,6,2950157
,30499,Bremen-Ost,50,6,2944387
,30538,Düsseldorf II,108,6,2861876
,30501,Mittelems,26,6,2862926
,30386,Heilbronn,171,6,2953481
,30504,Bremen-West,51,6,2944387
,30505,Cottbus - Guben - Forst,280,6,2945356
,30506,Saarbrücken I,244,6,2842635
,30556,Hannover-Land II,47,6,2862926
,30521,Bergstraße,145,6,2905330
,30510,Recklinghausen II - Borken I,92,6,2861876
,30578,Zeitz-Hohenmölsen-Naumburg-Nebra,294,6,2842565
,30512,Coesfeld - Steinfurt I,97,6,2861876
,30416,Leipzig II,154,6,2842566
,30515,Lahn-Dill,130,6,2905330
,30523,Bergstraße,188,6,2905330
,30518,Frankfurt/Oder - Eisenhüttenstadt - Beeskow,279,6,2945356
,30513,Coesfeld - Steinfurt II,128,6,2861876
,30467,Märkischer Kreis II,151,6,2861876
,30415,Altmark,66,6,2842565
,30551,Kassel,170,6,2905330
,30524,Hamburg-Eimsbüttel,14,6,2911297
,30442,Segeberg - Stormarn-Nord,8,6,2838632
,30526,Hochsauerlandkreis,119,6,2861876
,30576,München-Nord,204,6,2951839
,30529,Coburg,239,6,2951839
,30541,Düren,56,6,2861876
,30531,Berlin-Hohenschönhausen-Pankow-Weißensee,261,6,2950157
,30532,Oberallgäu,242,6,2951839
,30533,Oberallgäu,257,6,2951839
,30548,Rhein-Sieg-Kreis II,99,6,2861876
,30542,Düren,91,6,2861876
,30536,Braunschweig,45,6,2862926
,30393,Berlin-Pankow,77,6,2950157
,30539,Münster,99,6,2861876
,30385,Göttingen,49,6,2862926
,30353,Merseburg-Querfurt-Weißenfels,293,6,2842565
,30534,Oberallgäu,256,6,2951839
,30549,Rhein-Sieg-Kreis II,98,6,2861876
,30497,Aurich - Emden,25,6,2862926
,30634,Gifhorn - Peine,45,6,2862926
,30592,Eberswalde - Bernau - Bad Freienwalde,274,6,2945356
,30527,Hochsauerlandkreis,148,6,2861876
,30598,Nürnberg-Nord,244,6,2951839
,30545,Dresden I,160,6,2842566
,30581,Herford - Minden-Lübbecke II,134,6,2861876
,30601,Starnberg,224,6,2951839
,30657,Harz,68,6,2842565
,30488,Steinfurt III,129,6,2861876
,30602,Berlin-Tempelhof - Schöneberg,82,6,2950157
,30520,Luckenwalde-Zossen-Jüterbog-Königs Wusterhausen,278,6,2945356
,30642,Darmstadt,187,6,2905330
,30622,Nienburg II - Schaumburg,40,6,2862926
,30645,Ennepe-Ruhr-Kreis II,140,6,2861876
,30683,Berlin-Neukölln,83,6,2950157
,30543,Düren,90,6,2861876
,30544,Dresden I,318,6,2842566
,30656,Bad Doberan - Güstrow - Müritz,17,6,2872567
,30560,Neustadt - Speyer,209,6,2847618
,30547,Rhein-Sieg-Kreis II,65,6,2861876
,30550,Kassel,125,6,2905330
,30552,Kaiserslautern,159,6,2847618
,30553,Olpe-Siegen-Wittgenstein II,121,6,2861876
,30555,Koblenz,148,6,2847618
,30557,Neustadt - Speyer,158,6,2847618
,30561,Neustadt-Speyer,209,6,2847618
,30569,Ahrweiler,201,6,2847618
,30570,Ahrweiler,200,6,2847618
,30574,Kyffhäuserkreis-Sömmerda-Weimarer Land I,191,6,2822542
,30562,Zollernalb - Sigmaringen,198,6,2953481
,30564,Fürstenwalde - Strausberg - Seelow,277,6,2945356
,30566,Köln I,59,6,2861876
,30568,Ahrweiler,147,6,2847618
