0,-0.0000010000,-0.0000010000,-0.0000114717,-0.0000027035,-0.0000016141
1,-0.0000010000,-0.0000010000,-0.0000466607,-0.0000028480,-0.0000012419
2,-0.0000010000,-0.0000122667,-0.0000477914,-0.0001421371,-0.0000113482
3,-0.0000010000,-0.2254562023,-0.0000479458,-0.0084258417,-0.0008852989
4,-0.0000010000,-0.0010962550,-0.0000477812,-0.0001487235,-0.0000126644
5,-0.0000104050,-0.8326896733,-1.9502127112,-1.7336613969,-0.0002385050
6,-0.0000010000,-0.0000010000,-0.0055700092,-0.0003183671,-0.0000603811
7,-1.1530663807,-0.0151235979,-0.0057209443,-0.0371754019,-0.0097235284
8,-0.0003273615,-0.4653986889,-0.0998928928,-0.0053317913,-0.1139859379
9,-0.0000574846,-0.0006953460,-0.4888514299,-0.4903242041,-0.0093765380
10,-0.0025722285,-0.7208192435,-0.2860528678,-4.9656373629,-0.1221443256
11,-0.0000053089,-3.2101264915,-0.0056039199,-0.4976645897,-0.0101311861
12,-0.0000047450,-3.5773240958,-0.0004315476,-1.1937124194,-0.0091604808
13,-0.0000010000,-0.0000022000,-1.9566006950,-0.0751477751,-0.5127872697
14,-0.0001682695,-0.0015089569,-0.3767518518,-0.1100905489,-0.6041396067
15,-0.0000439144,-0.0002261402,-0.0078718714,-0.0365941817,-0.0632849454
16,-0.0017249948,-0.0724137158,-0.0057203474,-0.7610055798,-0.1031115299
17,-0.0006303221,-0.0000022029,-0.7859274759,-2.4826415874,-0.6289645134
18,-0.0000010000,-0.0000010000,-0.0004277362,-0.0000094032,-0.0053993861
19,-6.4552104290,-5.4583232901,-9.3186804227,-0.2960364954,-3.5295890220
20,-0.0000057447,-0.1164224400,-0.0004223360,-0.4621562010,-0.0256395449
21,-0.0000010000,-0.1209267614,-0.0000472619,-0.3618850778,-0.0070556361
22,-0.0169185053,-0.5941207544,-1.9455970962,-0.0656547902,-0.1329978248
23,-0.0000010000,-0.0022050952,-0.0000115992,-0.0429868577,-0.0016804161
24,-0.0000115735,-0.0486402124,-0.0077155715,-1.8684790115,-0.0361427134
25,-0.0001998146,-3.2117245327,-0.0056412127,-2.7773659538,-0.0154308769
26,-0.0010160017,-0.8044459007,-0.0004285674,-4.9299499915,-0.6388944224
27,-0.0066433206,-0.7870224870,-0.0991745952,-3.7898797313,-1.1465293468
28,-0.0068790983,-3.5784192825,-0.2826856822,-0.1784022458,-1.4755381527
29,-2.1951557957,-1.6490364439,-0.0992511840,-2.9291572504,-3.3844850367
30,-7.3700306383,-7.2154375970,-4.9684059710,-2.9786958302,-3.5880440405
31,-0.0556175668,-4.9402888264,-1.9482866433,-5.0721500951,-0.7821070089
32,-0.0037422718,-2.1259307816,-0.0493454010,-5.0074794660,-3.2665257559
33,-0.0493148129,-4.9399908103,-1.9483521949,-2.5375701432,-3.3871605626
34,-0.0010446488,-0.0031636955,-0.3753916775,-2.4770618206,-0.9844891281
35,-1.5015579576,-2.9936657834,-3.2880381717,-4.9880643793,-0.2803326046
